customer_id,app_tenure_days,app_sessions_per_week,device_type,contacts_permission_granted,sms_permission_granted,num_support_tickets_90d,profile_completeness_pct,days_since_last_app_open
100000,,,,,,,,
100001,419.0,6.0,android_mid,0.0,1.0,1.0,43.8,3.0
100002,,,,,,,,
100003,,,,,,,,
100004,314.0,5.0,android_high,1.0,0.0,0.0,97.6,4.0
100005,,,,,,,,
100006,,,,,,,,
100007,,,,,,,,
100008,150.0,5.0,android_low_end,1.0,1.0,0.0,61.3,2.0
100009,131.0,2.0,android_high,0.0,1.0,0.0,69.9,4.0
100010,180.0,7.0,android_mid,1.0,0.0,0.0,87.6,8.0
100011,,,,,,,,
100012,,,,,,,,
100013,,,,,,,,
100014,491.0,4.0,ios,1.0,1.0,0.0,64.2,3.0
100015,353.0,7.0,android_mid,1.0,1.0,0.0,74.0,3.0
100016,723.0,7.0,android_low_end,1.0,1.0,0.0,55.9,8.0
100017,158.0,5.0,android_low_end,1.0,1.0,0.0,88.4,3.0
100018,,,,,,,,
100019,,,,,,,,
100020,,,,,,,,
100021,1.0,2.0,ios,0.0,1.0,0.0,59.2,2.0
100022,,,,,,,,
100023,,,,,,,,
100024,,,,,,,,
100025,262.0,3.0,android_mid,1.0,1.0,0.0,74.5,3.0
100026,511.0,10.0,android_high,0.0,1.0,0.0,92.6,4.0
100027,258.0,4.0,android_low_end,0.0,0.0,0.0,41.9,1.0
100028,339.0,4.0,android_low_end,0.0,1.0,0.0,27.8,5.0
100029,,,,,,,,
100030,,,,,,,,
100031,,,,,,,,
100032,388.0,3.0,android_mid,1.0,0.0,0.0,58.6,3.0
100033,291.0,4.0,android_mid,0.0,1.0,0.0,41.9,5.0
100034,344.0,6.0,android_low_end,0.0,1.0,0.0,73.0,4.0
100035,1.0,5.0,ios,0.0,1.0,1.0,79.7,3.0
100036,384.0,8.0,android_low_end,1.0,1.0,0.0,73.1,5.0
100037,448.0,6.0,android_mid,1.0,1.0,1.0,60.8,6.0
100038,310.0,7.0,android_mid,1.0,1.0,1.0,46.9,2.0
100039,,,,,,,,
100040,5.0,1.0,android_low_end,0.0,1.0,0.0,100.0,3.0
100041,,,,,,,,
100042,,,,,,,,
100043,415.0,2.0,android_low_end,0.0,1.0,0.0,67.5,6.0
100044,,,,,,,,
100045,,,,,,,,
100046,65.0,4.0,android_low_end,1.0,1.0,0.0,57.7,6.0
100047,299.0,2.0,android_mid,0.0,0.0,0.0,83.8,5.0
100048,,,,,,,,
100049,1.0,6.0,ios,1.0,1.0,0.0,92.0,3.0
100050,12.0,5.0,ios,0.0,1.0,0.0,86.7,9.0
100051,133.0,6.0,android_high,1.0,1.0,3.0,66.1,4.0
100052,,,,,,,,
100053,,,,,,,,
100054,,,,,,,,
100055,,,,,,,,
100056,409.0,8.0,android_low_end,0.0,0.0,0.0,55.5,2.0
100057,319.0,2.0,android_mid,0.0,0.0,1.0,64.3,6.0
100058,48.0,1.0,android_low_end,1.0,1.0,1.0,85.6,3.0
100059,1.0,4.0,android_mid,0.0,1.0,0.0,99.2,5.0
100060,,,,,,,,
100061,325.0,6.0,android_mid,1.0,1.0,0.0,56.9,4.0
100062,21.0,6.0,android_mid,1.0,0.0,0.0,100.0,4.0
100063,,,,,,,,
100064,,,,,,,,
100065,297.0,3.0,android_mid,1.0,1.0,0.0,80.5,5.0
100066,360.0,8.0,android_high,0.0,0.0,0.0,100.0,3.0
100067,238.0,6.0,android_mid,0.0,0.0,0.0,85.6,4.0
100068,243.0,4.0,android_low_end,1.0,1.0,1.0,51.9,4.0
100069,328.0,7.0,android_mid,1.0,1.0,0.0,73.4,5.0
100070,258.0,8.0,android_mid,0.0,1.0,0.0,77.2,3.0
100071,348.0,2.0,android_low_end,1.0,1.0,0.0,81.6,5.0
100072,,,,,,,,
100073,168.0,6.0,ios,0.0,0.0,0.0,61.0,2.0
100074,221.0,5.0,android_mid,1.0,0.0,1.0,45.0,2.0
100075,174.0,5.0,android_mid,0.0,1.0,0.0,64.5,0.0
100076,197.0,4.0,android_low_end,0.0,1.0,2.0,98.0,2.0
100077,,,,,,,,
100078,205.0,3.0,android_low_end,1.0,0.0,0.0,74.0,3.0
100079,,,,,,,,
100080,,,,,,,,
100081,318.0,3.0,android_mid,0.0,0.0,0.0,80.5,4.0
100082,,,,,,,,
100083,300.0,6.0,android_mid,0.0,0.0,0.0,94.2,7.0
100084,343.0,5.0,android_low_end,1.0,0.0,2.0,69.1,4.0
100085,176.0,8.0,android_low_end,1.0,1.0,0.0,32.8,4.0
100086,,,,,,,,
100087,495.0,1.0,android_mid,1.0,0.0,0.0,80.4,7.0
100088,415.0,1.0,android_low_end,1.0,1.0,0.0,95.2,3.0
100089,84.0,4.0,android_low_end,0.0,0.0,2.0,80.0,2.0
100090,318.0,5.0,ios,0.0,1.0,0.0,76.9,8.0
100091,,,,,,,,
100092,311.0,4.0,android_low_end,0.0,1.0,0.0,72.9,4.0
100093,118.0,6.0,android_high,1.0,0.0,1.0,100.0,3.0
100094,132.0,4.0,android_low_end,1.0,1.0,0.0,79.7,2.0
100095,,,,,,,,
100096,417.0,14.0,android_mid,0.0,1.0,0.0,89.5,4.0
100097,541.0,4.0,android_high,0.0,1.0,0.0,71.5,4.0
100098,582.0,3.0,android_low_end,1.0,1.0,0.0,53.7,4.0
100099,,,,,,,,
100100,,,,,,,,
100101,,,,,,,,
100102,184.0,6.0,android_mid,0.0,1.0,0.0,78.1,3.0
100103,,,,,,,,
100104,,,,,,,,
100105,,,,,,,,
100106,519.0,4.0,android_mid,0.0,1.0,0.0,55.5,0.0
100107,1.0,4.0,android_low_end,0.0,1.0,1.0,98.7,2.0
100108,193.0,7.0,android_mid,0.0,1.0,0.0,80.0,1.0
100109,,,,,,,,
100110,350.0,1.0,android_low_end,1.0,0.0,1.0,70.2,7.0
100111,346.0,7.0,android_low_end,0.0,0.0,0.0,80.3,3.0
100112,364.0,5.0,android_mid,0.0,1.0,0.0,47.9,5.0
100113,109.0,6.0,android_mid,1.0,0.0,0.0,86.9,1.0
100114,345.0,5.0,android_high,0.0,1.0,1.0,86.1,3.0
100115,,,,,,,,
100116,,,,,,,,
100117,,,,,,,,
100118,384.0,11.0,android_low_end,1.0,1.0,1.0,34.0,0.0
100119,,,,,,,,
100120,236.0,4.0,android_low_end,0.0,1.0,0.0,58.1,3.0
100121,,,,,,,,
100122,120.0,1.0,android_high,0.0,0.0,0.0,94.0,3.0
