loan_id,customer_id,acquisition_channel,application_date,requested_amount_kes,internal_risk_tier_at_application,internal_default_prob_at_application,approved,approved_amount_kes,interest_rate_monthly_pct,tenor_days,disbursed_date,loan_status,defaulted,days_late,repaid_pct_of_principal,prior_completed_loans_with_us,prior_defaults_with_us,prior_avg_days_late_with_us,prior_repayment_rate_with_us
500001,100000,sales_assisted,2025-01-12,24100.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500002,100001,digital,2025-05-03,25400.0,D,0.9,1,12400.0,23.73,30.0,2025-05-03,closed_default,True,190.0,0.271,0,0,0.0,1.0
500003,100001,digital,2025-06-20,20600.0,D,0.9,1,10200.0,23.09,120.0,2025-06-20,closed_default,True,90.0,0.091,1,1,190.0,0.271
500004,100002,sales_assisted,2024-10-05,20500.0,D,0.6976,1,9700.0,19.74,120.0,2024-10-05,closed_good,False,6.0,1.0,0,0,0.0,1.0
500005,100003,sales_assisted,2023-08-23,83500.0,D,0.6938,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500006,100003,sales_assisted,2023-10-29,65000.0,D,0.5616,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500007,100003,sales_assisted,2024-02-25,38800.0,D,0.762,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500008,100004,digital,2023-01-05,27900.0,D,0.6167,1,13600.0,23.03,120.0,2023-01-06,written_off,True,151.0,0.231,0,0,0.0,1.0
500009,100005,sales_assisted,2024-10-25,24100.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500010,100005,sales_assisted,2025-02-15,33100.0,D,0.8733,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500011,100005,sales_assisted,2025-05-05,30500.0,D,0.8899,1,14200.0,23.38,90.0,2025-05-06,closed_default,True,186.0,0.578,0,0,0.0,1.0
500012,100006,sales_assisted,2023-10-23,20100.0,D,0.7444,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500013,100006,sales_assisted,2024-02-04,22400.0,D,0.5611,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500014,100006,sales_assisted,2024-04-13,35600.0,D,0.7735,1,16600.0,23.95,90.0,2024-04-14,written_off,True,75.0,0.098,0,0,0.0,1.0
500015,100007,sales_assisted,2024-08-15,20100.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500016,100007,sales_assisted,2024-10-10,19800.0,D,0.9,0,0.0,,,,rejected,,,,0,0,0.0,1.0
500017,100008,digital,2024-04-06,9700.0,D,0.9,1,4500.0,21.02,60.0,2024-04-06,closed_default,True,185.0,0.208,0,0,0.0,1.0
500018,100008,digital,2024-07-30,12200.0,D,0.9,1,5900.0,22.64,120.0,2024-07-31,closed_default,True,110.0,0.143,1,1,185.0,0.208
