customer_id,avg_monthly_inflow_kes,avg_monthly_outflow_kes,inflow_volatility_cv,avg_closing_balance_kes,salary_regularity_score,num_bounced_payments_6m,mobile_money_txn_count_monthly,num_distinct_income_sources,statement_period_months
100000,28300.0,25600.0,0.514,9600.0,0.356,5,35,3,6
100001,41700.0,33100.0,0.185,19400.0,1.0,0,31,1,6
100002,36600.0,31000.0,0.177,13700.0,1.0,0,46,2,6
100003,84200.0,79700.0,0.226,14700.0,0.979,0,48,1,12
100004,30100.0,30500.0,0.254,1100.0,0.49,2,36,1,12
100005,37200.0,33600.0,0.374,10500.0,0.684,2,28,3,12
100006,40700.0,30500.0,0.402,20300.0,0.53,0,27,2,6
100007,48900.0,36500.0,0.302,10800.0,0.494,0,15,1,6
100008,23800.0,16500.0,0.192,6100.0,0.673,1,33,1,12
100009,80000.0,85700.0,0.191,-5000.0,0.778,1,25,1,6
100010,26200.0,22700.0,0.116,6700.0,0.692,1,48,1,12
100011,47600.0,49100.0,0.325,-300.0,0.69,1,50,1,12
100012,24800.0,27300.0,0.268,-2600.0,0.718,2,20,1,12
100013,38600.0,26700.0,0.334,27800.0,0.441,1,41,3,6
100014,56400.0,65400.0,0.182,-5000.0,0.941,0,47,1,3
100015,34200.0,34800.0,0.346,700.0,0.809,2,22,2,12
100016,16200.0,16200.0,0.199,1500.0,0.87,0,11,3,6
100017,19400.0,19400.0,0.532,1500.0,0.355,3,34,1,12
100018,24700.0,25300.0,0.407,700.0,0.574,1,28,1,6
100019,32900.0,29400.0,0.223,5900.0,0.54,4,41,1,12
100020,11700.0,8400.0,0.438,6300.0,0.557,3,32,3,3
100021,50400.0,45100.0,0.422,5800.0,0.36,2,13,2,12
100022,46800.0,30100.0,0.275,25100.0,0.739,0,43,1,6
100023,43600.0,32100.0,0.241,10000.0,0.644,1,51,1,3
100024,10100.0,7300.0,0.121,7500.0,0.338,0,61,2,6
100025,27500.0,21900.0,0.03,9400.0,0.501,3,58,1,12
100026,57500.0,47000.0,0.075,21400.0,0.901,0,46,1,3
100027,35300.0,20900.0,0.17,23900.0,0.983,1,35,1,3
100028,28500.0,21900.0,0.241,18700.0,0.454,2,24,1,12
100029,14700.0,13000.0,0.115,3600.0,0.829,1,33,1,6
100030,21800.0,14200.0,0.259,17900.0,0.678,3,9,1,6
100031,41000.0,32400.0,0.312,8300.0,0.154,4,60,3,3
100032,42600.0,39600.0,0.427,9800.0,0.558,2,18,1,6
100033,18700.0,11100.0,0.306,17300.0,0.819,3,59,1,3
100034,15600.0,12400.0,0.45,5100.0,0.524,2,24,1,12
100035,38600.0,34300.0,0.399,7700.0,0.486,2,45,1,6
100036,83700.0,86800.0,0.187,-300.0,0.478,0,12,1,6
100037,35400.0,39400.0,0.291,-5000.0,0.626,3,42,1,6
100038,65400.0,62900.0,0.263,6000.0,0.686,2,15,2,6
100039,29000.0,33100.0,0.351,-5000.0,0.564,3,55,1,6
100040,44100.0,52500.0,0.374,-5000.0,0.291,3,21,3,6
100041,63500.0,60400.0,0.165,9000.0,1.0,1,44,3,6
100042,37200.0,29100.0,0.148,6500.0,0.965,1,61,2,12
100043,83100.0,70200.0,0.341,35300.0,0.753,3,14,1,12
100044,22200.0,19500.0,0.166,7000.0,0.499,2,35,1,12
100045,42100.0,40900.0,0.268,2300.0,0.67,0,51,1,3
100046,22000.0,13800.0,0.263,9500.0,0.691,0,29,1,3
100047,50300.0,42000.0,0.146,10900.0,0.769,2,44,1,6
100048,56600.0,52300.0,0.156,6600.0,0.768,0,42,1,12
100049,43000.0,40100.0,0.223,9900.0,0.46,2,39,1,6
100050,87100.0,76600.0,0.199,6800.0,0.96,2,24,3,6
100051,21900.0,15500.0,0.181,5500.0,0.509,0,54,1,3
100052,13600.0,11900.0,0.142,5900.0,0.631,1,59,1,6
100053,54000.0,40000.0,0.085,19300.0,0.909,0,18,1,12
100054,28000.0,19900.0,0.319,15600.0,0.488,3,55,3,12
100055,57300.0,65700.0,0.117,-5000.0,0.653,3,39,2,12
100056,13300.0,8000.0,0.194,10700.0,0.709,1,27,3,6
100057,25400.0,22600.0,0.216,6400.0,0.871,2,20,3,3
100058,47100.0,46600.0,0.383,2000.0,0.58,2,10,1,6
100059,74200.0,75800.0,0.353,-1700.0,0.848,0,33,3,3
100060,27600.0,25300.0,0.318,7800.0,0.364,1,16,1,12
100061,35100.0,30500.0,0.276,6300.0,0.79,0,19,2,6
100062,94100.0,98800.0,0.201,-5000.0,0.891,0,38,1,6
100063,55600.0,49100.0,0.181,12500.0,0.771,2,25,1,6
100064,30300.0,32000.0,0.192,-3000.0,0.606,3,52,1,3
100065,21900.0,23300.0,0.343,-600.0,0.531,0,40,2,6
100066,78500.0,66700.0,0.464,20900.0,0.344,3,25,2,6
100067,38300.0,41000.0,0.345,-2600.0,0.274,1,15,1,6
100068,19300.0,13300.0,0.26,16900.0,0.611,1,18,1,3
100069,57800.0,58100.0,0.377,700.0,0.731,2,52,1,6
100070,74700.0,44500.0,0.358,25600.0,0.806,1,59,2,6
100071,41600.0,43500.0,0.199,500.0,0.725,1,20,1,12
100072,97900.0,121500.0,0.274,-5000.0,0.705,2,37,2,12
100073,39300.0,35700.0,0.502,4600.0,0.347,1,15,2,12
100074,16400.0,15100.0,0.142,3200.0,0.987,1,43,2,6
100075,21900.0,24800.0,0.203,-4300.0,0.639,0,33,1,12
100076,32500.0,28200.0,0.18,8100.0,0.936,1,30,1,6
100077,22900.0,11500.0,0.409,27400.0,0.526,2,24,1,12
100078,117300.0,108200.0,0.215,21600.0,0.863,1,62,1,6
100079,17300.0,12900.0,0.182,9200.0,0.893,1,25,1,12
100080,23600.0,20300.0,0.14,3800.0,0.524,0,48,1,3
100081,44700.0,32100.0,0.294,10600.0,0.652,2,54,1,6
100082,14700.0,16300.0,0.257,-1500.0,0.486,2,48,1,6
100083,53800.0,51300.0,0.297,5200.0,0.669,1,66,1,6
100084,29500.0,24300.0,0.158,6000.0,0.779,1,43,1,6
100085,25200.0,24500.0,0.262,2800.0,0.486,3,43,3,12
100086,12200.0,10600.0,0.322,3100.0,0.884,0,29,3,6
100087,37800.0,42100.0,0.281,-5000.0,0.679,1,53,1,6
100088,26200.0,25100.0,0.03,3100.0,0.689,1,28,2,6
100089,34700.0,38100.0,0.356,-1700.0,0.748,1,40,1,12
100090,41600.0,33000.0,0.13,13200.0,0.506,1,45,1,6
100091,14200.0,13000.0,0.173,2800.0,0.635,0,32,1,3
100092,22500.0,23400.0,0.181,-1000.0,0.864,0,21,2,3
100093,52900.0,48400.0,0.268,4200.0,0.874,0,20,1,3
100094,26400.0,14300.0,0.289,26200.0,0.661,1,26,3,6
100095,35600.0,30000.0,0.061,12400.0,0.801,2,52,2,6
100096,34700.0,25400.0,0.398,11500.0,0.453,2,80,1,6
100097,41200.0,44000.0,0.146,-4900.0,0.884,0,26,1,12
100098,59200.0,58400.0,0.125,3200.0,1.0,0,25,1,6
100099,41600.0,42900.0,0.301,-2100.0,0.283,2,12,1,6
100100,52900.0,40000.0,0.082,33800.0,1.0,0,31,1,12
100101,45800.0,34300.0,0.106,13100.0,0.888,1,23,2,6
100102,36700.0,25200.0,0.346,14800.0,0.656,0,33,1,12
100103,67900.0,56600.0,0.111,21200.0,0.915,0,60,1,6
100104,22400.0,19400.0,0.152,7400.0,0.455,0,17,2,12
100105,38100.0,39100.0,0.188,-1400.0,0.622,0,21,1,12
100106,32800.0,27500.0,0.231,5500.0,0.704,0,34,1,3
100107,7900.0,5800.0,0.281,7100.0,0.734,1,53,2,6
100108,23100.0,23700.0,0.271,1100.0,0.717,1,26,1,12
100109,62500.0,46000.0,0.202,33000.0,0.776,1,63,1,6
100110,16200.0,17100.0,0.089,500.0,1.0,0,19,2,6
100111,87200.0,111200.0,0.132,-5000.0,0.709,2,56,2,6
100112,11500.0,9300.0,0.348,3100.0,0.689,1,58,1,6
100113,17500.0,8700.0,0.444,9100.0,0.373,1,60,1,12
100114,7500.0,6800.0,0.399,2600.0,0.471,3,36,1,6
100115,45700.0,43100.0,0.321,4800.0,0.572,0,27,1,6
100116,83800.0,73300.0,0.292,26800.0,0.679,0,25,1,3
100117,37000.0,37700.0,0.278,200.0,0.633,3,19,1,6
100118,9900.0,8700.0,0.241,5000.0,0.38,1,53,1,6
100119,18300.0,13300.0,0.329,6800.0,0.866,0,51,2,12
100120,33500.0,24900.0,0.134,24800.0,0.39,0,61,2,6
100121,26400.0,21500.0,0.136,14800.0,0.494,0,25,1,6
100122,27700.0,23300.0,0.239,6200.0,0.833,2,25,1,6
100123,13700.0,11100.0,0.46,7700.0,0.248,3,47,1,12
100124,26000.0,22600.0,0.53,10800.0,0.584,2,33,1,6
100125,16900.0,12000.0,0.227,15100.0,0.823,1,58,2,6
100126,25600.0,29400.0,0.287,-800.0,0.617,2,25,1,12
100127,15700.0,12700.0,0.472,3700.0,0.46,0,14,2,6
100128,31100.0,22600.0,0.314,18200.0,0.964,0,24,1,12
100129,45200.0,41600.0,0.266,3300.0,0.795,0,40,1,3
100130,41500.0,33200.0,0.131,20700.0,0.548,3,15,2,3
100131,29700.0,24600.0,0.544,10900.0,0.587,3,42,2,12
100132,8100.0,7400.0,0.418,2200.0,0.263,3,27,1,6
100133,57700.0,52000.0,0.151,8200.0,1.0,0,27,1,3
100134,23900.0,16600.0,0.03,8500.0,0.615,3,24,2,3
100135,65000.0,63700.0,0.117,3000.0,0.908,0,55,2,6
100136,52100.0,44900.0,0.095,8600.0,0.943,1,51,3,6
100137,52100.0,41500.0,0.158,19100.0,0.834,0,22,1,6
100138,50400.0,55800.0,0.408,-5000.0,0.544,0,29,1,3
100139,48800.0,46800.0,0.038,5300.0,0.888,0,18,1,12
100140,34600.0,25000.0,0.03,30100.0,0.631,3,28,1,12
100141,77500.0,61500.0,0.266,11100.0,0.939,0,56,3,12
100142,89600.0,71900.0,0.427,25600.0,0.391,3,52,2,12
100143,46700.0,47500.0,0.212,600.0,0.757,0,64,1,12
100144,56300.0,43700.0,0.238,32900.0,0.861,0,49,3,6
100145,38900.0,30800.0,0.325,15400.0,0.338,2,48,1,3
100146,29700.0,21400.0,0.147,20100.0,0.628,1,39,1,12
100147,18500.0,18400.0,0.107,1600.0,0.708,0,40,3,6
100148,55100.0,46400.0,0.178,22600.0,0.9,2,41,1,6
100149,45400.0,32900.0,0.15,7800.0,0.981,1,26,1,3
100150,38300.0,22300.0,0.141,12300.0,0.763,3,41,1,3
100151,66300.0,55200.0,0.343,34700.0,0.667,5,71,1,6
100152,9300.0,7100.0,0.425,7200.0,0.485,0,26,3,6
100153,33600.0,27700.0,0.073,7300.0,0.753,2,36,1,12
100154,30100.0,31600.0,0.405,-1100.0,0.619,2,16,2,6
100155,10000.0,11000.0,0.297,300.0,0.476,1,45,1,12
100156,77000.0,56700.0,0.129,14100.0,0.916,1,58,1,3
100157,26800.0,19600.0,0.345,21600.0,0.61,1,57,2,12
100158,62000.0,54700.0,0.237,8300.0,0.57,0,27,1,3
100159,49800.0,48500.0,0.059,2700.0,0.349,0,20,1,6
100160,61000.0,61300.0,0.177,1100.0,0.729,2,42,2,6
100161,51400.0,57800.0,0.099,-5000.0,0.963,1,62,1,6
100162,65500.0,58900.0,0.281,16200.0,0.461,1,19,1,6
100163,20600.0,17700.0,0.317,4300.0,0.626,0,37,1,6
100164,71300.0,57400.0,0.172,20500.0,0.601,1,29,1,6
100165,6700.0,5000.0,0.584,5400.0,0.317,1,57,2,3
100166,23700.0,22400.0,0.203,4000.0,0.838,0,34,1,6
100167,32800.0,39200.0,0.214,-5000.0,0.898,3,40,1,3
100168,48500.0,43200.0,0.16,4800.0,0.798,1,35,1,12
100169,16400.0,19400.0,0.46,-2100.0,0.564,7,25,2,12
100170,46200.0,49400.0,0.282,-5000.0,0.805,3,16,1,12
100171,28200.0,15600.0,0.087,26700.0,0.81,1,16,1,12
100172,9700.0,9500.0,0.27,1800.0,0.519,4,41,1,3
100173,48900.0,28200.0,0.771,38600.0,0.305,1,24,1,3
100174,31800.0,31500.0,0.519,2200.0,0.543,2,25,2,6
100175,49400.0,39500.0,0.227,15500.0,0.793,0,37,2,12
100176,43800.0,39100.0,0.488,12800.0,0.468,2,51,1,3
100177,41600.0,31600.0,0.27,28800.0,0.474,3,57,2,12
100178,60600.0,58600.0,0.499,4600.0,0.409,0,63,1,6
100179,24900.0,30100.0,0.167,-5000.0,0.416,7,27,2,12
100180,19900.0,24900.0,0.066,-5000.0,0.853,3,24,2,6
100181,21400.0,16200.0,0.51,14600.0,0.645,0,35,2,3
100182,12800.0,11100.0,0.28,5100.0,0.758,0,43,1,6
100183,47600.0,49300.0,0.119,-2500.0,0.908,0,53,1,12
100184,80600.0,73100.0,0.359,6200.0,0.614,2,33,1,3
100185,11900.0,9600.0,0.335,5700.0,0.598,0,74,1,6
100186,73400.0,75400.0,0.038,0.0,1.0,0,24,1,12
100187,33400.0,27400.0,0.32,18100.0,0.594,1,43,1,12
100188,39100.0,36700.0,0.308,8000.0,0.734,0,45,1,3
100189,32500.0,32100.0,0.551,2200.0,0.502,1,32,2,6
100190,80900.0,74200.0,0.267,10800.0,0.465,2,46,1,12
100191,13100.0,10100.0,0.055,8800.0,0.471,0,32,1,6
100192,40200.0,35500.0,0.169,7200.0,0.629,2,47,1,6
100193,70400.0,69200.0,0.226,3800.0,0.415,3,31,1,6
100194,50600.0,42500.0,0.247,19300.0,0.506,3,33,1,6
100195,27300.0,25300.0,0.281,6300.0,0.61,1,27,2,12
100196,31100.0,30300.0,0.249,2600.0,0.752,0,24,1,6
100197,34400.0,34900.0,0.435,600.0,0.725,0,27,2,6
100198,37200.0,32300.0,0.03,15400.0,0.764,0,49,1,12
100199,26400.0,20300.0,0.03,9400.0,0.774,0,57,2,12
100200,13900.0,13100.0,0.201,3300.0,0.691,0,9,1,3
100201,73100.0,61100.0,0.094,27700.0,0.78,3,39,1,3
100202,52900.0,37900.0,0.175,18600.0,0.766,1,24,1,3
100203,34600.0,22900.0,0.068,8800.0,0.402,2,34,1,12
100204,25200.0,23600.0,0.473,4800.0,0.589,1,29,2,6
100205,19700.0,13300.0,0.439,7500.0,0.68,0,33,1,6
100206,25100.0,27300.0,0.185,-4000.0,0.861,0,59,2,3
100207,24500.0,19500.0,0.539,12900.0,0.543,0,59,1,6
100208,85000.0,53800.0,0.293,50700.0,1.0,0,35,1,6
100209,15800.0,17600.0,0.303,-3400.0,0.474,1,25,1,12
100210,41100.0,35200.0,0.226,6100.0,0.871,0,42,1,6
100211,32100.0,29100.0,0.118,6400.0,0.536,2,26,1,6
100212,33400.0,24600.0,0.166,8200.0,0.745,0,36,1,12
100213,53200.0,56100.0,0.371,-2800.0,0.732,0,33,1,6
100214,11300.0,9600.0,0.358,4200.0,0.598,4,41,1,6
100215,46000.0,26600.0,0.211,30500.0,0.792,1,69,1,3
100216,31300.0,26200.0,0.196,8100.0,0.918,0,56,1,3
100217,39500.0,38500.0,0.486,4200.0,0.398,3,50,1,12
100218,29800.0,22700.0,0.507,18100.0,0.447,2,43,1,12
100219,57500.0,38000.0,0.163,47500.0,0.88,1,24,1,12
100220,64800.0,54500.0,0.191,23600.0,0.753,1,25,2,12
100221,5800.0,6800.0,0.299,-900.0,0.601,1,50,1,6
100222,30300.0,33100.0,0.157,-4900.0,0.633,1,49,1,3
100223,6100.0,6500.0,0.263,1100.0,0.497,0,62,1,6
100224,21900.0,22700.0,0.558,-500.0,0.219,5,42,1,6
100225,24600.0,21000.0,0.354,4700.0,0.545,4,20,2,3
100226,27600.0,22000.0,0.386,10100.0,0.7,2,42,2,3
100227,21100.0,19400.0,0.224,4900.0,0.612,2,19,1,12
100228,14600.0,14600.0,0.237,1500.0,1.0,1,48,1,12
100229,33900.0,23600.0,0.197,29300.0,0.667,1,38,2,6
100230,75300.0,63900.0,0.158,26400.0,0.777,2,38,1,6
100231,22500.0,24500.0,0.121,-400.0,0.467,1,36,1,3
100232,29900.0,29500.0,0.03,2400.0,0.51,0,34,2,12
100233,8600.0,8800.0,0.402,1400.0,0.492,0,49,1,12
100234,38600.0,19600.0,0.186,54600.0,0.88,2,58,1,6
100235,53100.0,48900.0,0.439,8800.0,0.378,2,39,2,6
100236,29400.0,26400.0,0.323,9100.0,0.441,2,35,2,6
100237,59400.0,41600.0,0.187,27400.0,0.804,1,48,1,6
