customer_id,crb_score,num_active_loans_other_lenders,total_outstanding_debt_kes,num_defaults_last_24m,max_days_past_due_24m,crb_listed_negative,crb_pulled_date
100000,597,3,28800.0,2,38,1,2025-01-11
100001,434,1,24500.0,1,120,1,2025-04-27
100002,508,0,0.0,1,92,1,2024-10-02
100003,497,3,29700.0,0,6,0,2023-08-27
100004,662,0,0.0,0,4,0,2023-01-07
100005,490,2,34400.0,0,13,0,2024-10-19
100006,684,0,0.0,0,1,0,2023-10-17
100007,494,2,16500.0,1,45,1,2024-08-15
100008,342,2,25300.0,0,7,0,2024-04-04
100009,596,2,17900.0,0,5,0,2023-05-15
100010,455,4,39100.0,2,164,1,2023-11-29
100011,721,0,0.0,0,8,0,2025-06-07
100012,514,1,16800.0,0,7,0,2023-10-20
100013,730,0,0.0,0,4,0,2024-12-07
100014,585,3,46100.0,0,1,0,2024-09-21
100015,661,0,0.0,0,8,0,2024-01-22
100016,537,5,86500.0,0,0,0,2024-11-17
100017,844,0,0.0,0,2,0,2024-05-18
100018,445,2,48400.0,1,176,1,2024-07-14
100019,269,3,60500.0,0,10,0,2023-11-21
100020,592,0,0.0,0,6,0,2025-04-29
100021,469,0,0.0,0,14,0,2023-08-26
100022,632,0,0.0,0,3,0,2024-04-29
100023,598,1,3100.0,0,4,0,2025-03-18
100024,495,2,24600.0,1,58,1,2024-10-01
100025,547,1,8900.0,1,124,1,2024-06-10
100026,666,2,46600.0,0,4,0,2023-03-14
100027,562,0,0.0,0,0,0,2023-12-02
100028,556,2,35000.0,0,12,0,2024-02-08
100029,537,1,3600.0,0,8,0,2025-02-09
100030,779,0,0.0,0,9,0,2025-02-10
100031,738,1,8600.0,0,11,0,2024-02-03
100032,409,2,34600.0,1,82,1,2023-11-20
100033,611,0,0.0,0,1,0,2023-06-20
100034,468,0,0.0,0,8,0,2024-03-10
100035,482,6,113400.0,1,144,1,2023-05-18
100036,264,2,7900.0,1,54,1,2023-05-31
100037,577,0,0.0,0,9,0,2025-04-27
100038,593,3,71400.0,0,7,0,2024-04-30
100039,744,0,0.0,0,11,0,2023-12-11
100040,693,0,0.0,0,5,0,2024-01-17
100041,667,1,24600.0,0,10,0,2023-12-24
100042,715,2,10400.0,0,3,0,2025-01-28
100043,716,0,0.0,0,12,0,2024-04-29
100044,647,3,42000.0,0,1,0,2024-08-07
100045,789,2,48700.0,0,13,0,2024-06-06
100046,427,1,17600.0,0,10,0,2024-05-25
100047,562,1,7900.0,0,3,0,2024-01-26
100048,538,4,40100.0,0,9,0,2024-11-26
100049,516,2,8000.0,0,4,0,2025-04-23
100050,620,0,0.0,0,4,0,2023-11-09
100051,748,0,0.0,0,0,0,2023-10-28
100052,653,2,49400.0,0,1,0,2024-11-18
100053,747,1,23300.0,0,14,0,2023-04-16
100054,558,1,9200.0,2,159,1,2024-02-13
100055,593,0,0.0,0,10,0,2025-06-15
100056,622,2,15200.0,0,0,0,2024-09-19
100057,653,1,7900.0,0,14,0,2023-07-18
100058,627,3,17500.0,0,9,0,2024-01-05
100059,897,0,0.0,0,0,0,2025-05-03
100060,632,0,0.0,0,0,0,2024-04-19
100061,517,7,94200.0,0,6,0,2025-02-03
100062,544,2,20300.0,0,8,0,2025-01-04
100063,711,1,5700.0,0,14,0,2024-12-04
100064,686,0,0.0,0,10,0,2024-08-06
100065,678,0,0.0,0,8,0,2023-05-03
100066,673,0,0.0,0,2,0,2023-09-24
100067,459,0,0.0,0,10,0,2023-02-02
100068,764,1,14200.0,0,8,0,2024-01-28
100069,771,0,0.0,0,13,0,2023-06-04
100070,594,0,0.0,1,101,1,2024-06-30
100071,675,0,0.0,0,5,0,2023-12-30
100072,662,1,7400.0,0,11,0,2025-04-30
100073,564,2,45300.0,0,4,0,2024-12-14
100074,457,0,0.0,2,30,1,2023-07-25
100075,680,1,9700.0,0,13,0,2023-12-21
100076,439,1,13500.0,1,100,1,2024-01-15
100077,506,1,22700.0,0,10,0,2023-01-31
100078,818,0,0.0,0,10,0,2024-10-19
100079,663,1,8000.0,0,5,0,2023-03-08
100080,612,1,3200.0,0,10,0,2025-01-10
100081,552,2,23000.0,0,1,0,2024-02-21
100082,388,2,22500.0,0,10,0,2024-02-16
100083,659,0,0.0,0,10,0,2023-01-30
100084,678,1,15200.0,0,8,0,2024-07-19
100085,678,1,23200.0,0,11,0,2024-11-11
100086,555,1,4100.0,0,7,0,2024-01-07
100087,593,1,19800.0,0,1,0,2023-08-13
100088,659,1,5700.0,0,8,0,2025-06-18
100089,466,1,21700.0,0,6,0,2024-03-15
100090,660,0,0.0,0,8,0,2024-08-19
100091,539,2,32700.0,0,4,0,2024-12-14
100092,628,1,22100.0,1,70,1,2024-06-18
100093,868,0,0.0,0,10,0,2024-05-16
100094,577,1,22700.0,0,3,0,2024-09-12
100095,607,1,16100.0,0,14,0,2025-03-07
100096,576,1,7200.0,0,2,0,2024-09-11
100097,389,0,0.0,2,173,1,2025-02-02
100098,685,1,8700.0,0,12,0,2023-09-11
100099,352,4,93500.0,1,165,1,2023-06-06
100100,716,0,0.0,0,4,0,2023-04-03
100101,560,2,32000.0,0,1,0,2023-01-22
100102,514,1,12100.0,0,9,0,2024-02-09
100103,644,0,0.0,0,13,0,2025-02-20
100104,417,4,31500.0,1,78,1,2023-03-03
100105,583,5,32500.0,0,9,0,2024-08-13
100106,473,2,24000.0,0,6,0,2024-12-24
100107,411,3,40300.0,0,7,0,2025-04-07
100108,538,0,0.0,0,4,0,2024-12-30
100109,757,0,0.0,0,8,0,2023-03-20
100110,688,3,14700.0,0,10,0,2023-05-21
100111,574,1,12500.0,0,7,0,2025-06-11
100112,560,3,12900.0,1,31,1,2023-03-29
100113,536,2,35800.0,1,175,1,2025-06-07
100114,423,7,75200.0,1,163,1,2025-05-03
100115,507,3,64800.0,1,154,1,2023-09-02
100116,647,3,57800.0,0,13,0,2024-12-27
100117,530,3,32500.0,0,10,0,2023-02-24
100118,580,1,23900.0,0,11,0,2023-04-28
100119,481,3,47100.0,0,1,0,2023-12-01
100120,656,0,0.0,0,7,0,2023-07-27
100121,668,2,23100.0,0,14,0,2024-01-27
100122,792,0,0.0,0,2,0,2023-09-02
100123,716,2,25600.0,0,7,0,2023-09-03
100124,462,4,69000.0,0,2,0,2023-11-16
100125,507,0,0.0,0,0,0,2023-02-21
100126,630,2,15400.0,0,10,0,2024-09-17
100127,491,6,96900.0,1,95,1,2025-02-21
100128,628,0,0.0,0,9,0,2023-12-30
100129,579,2,43100.0,0,10,0,2023-07-14
100130,710,1,21800.0,0,1,0,2025-03-23
100131,681,1,10300.0,0,10,0,2025-02-26
