customer_id,acquisition_channel,region,employment_type,age,gender,monthly_income_kes,signup_date
100000,sales_assisted,Meru,informal_gig,18,M,24500.0,2025-01-11
100001,digital,Meru,civil_servant,25,F,30300.0,2025-04-25
100002,sales_assisted,Nairobi,formal_employed,24,M,31300.0,2024-10-01
100003,sales_assisted,Nairobi,formal_employed,26,F,75700.0,2023-08-23
100004,digital,Nakuru,self_employed_business,35,F,37500.0,2023-01-04
100005,sales_assisted,Nairobi,self_employed_business,37,M,39700.0,2024-10-17
100006,sales_assisted,Mombasa,informal_gig,23,F,29400.0,2023-10-14
100007,sales_assisted,Nyeri,self_employed_business,25,M,51300.0,2024-08-12
100008,digital,Nairobi,informal_gig,42,F,18800.0,2024-04-04
100009,digital,Nakuru,formal_employed,48,M,63800.0,2023-05-15
100010,digital,Meru,self_employed_business,44,F,31200.0,2023-11-25
100011,sales_assisted,Kisumu,informal_gig,18,F,30900.0,2025-06-05
100012,sales_assisted,Nairobi,self_employed_business,43,M,19200.0,2023-10-17
100013,sales_assisted,Nairobi,self_employed_business,49,F,33300.0,2024-12-05
100014,digital,Uasin Gishu,formal_employed,18,F,49000.0,2024-09-19
100015,digital,Nairobi,formal_employed,42,F,51500.0,2024-01-21
100016,digital,Eldoret,self_employed_business,35,F,25200.0,2024-11-14
100017,digital,Kiambu,self_employed_business,30,F,12900.0,2024-05-18
100018,sales_assisted,Nairobi,informal_gig,33,M,26100.0,2024-07-14
100019,sales_assisted,Meru,self_employed_business,36,F,34900.0,2023-11-21
100020,sales_assisted,Nairobi,informal_gig,43,F,18600.0,2025-04-27
100021,digital,Nakuru,informal_gig,42,M,36600.0,2023-08-24
100022,sales_assisted,Nakuru,formal_employed,19,M,39700.0,2024-04-27
100023,sales_assisted,Nyeri,formal_employed,27,M,35700.0,2025-03-17
100024,sales_assisted,Nairobi,informal_gig,33,F,8000.0,2024-10-01
100025,digital,Nairobi,self_employed_business,47,F,21500.0,2024-06-10
100026,digital,Uasin Gishu,self_employed_business,18,F,51300.0,2023-03-14
100027,digital,Nairobi,formal_employed,27,M,31900.0,2023-11-29
100028,digital,Kiambu,informal_gig,19,M,27500.0,2024-02-08
100029,sales_assisted,Kakamega,formal_employed,20,M,21700.0,2025-02-05
100030,sales_assisted,Kisumu,formal_employed,41,F,29400.0,2025-02-08
100031,sales_assisted,Machakos,self_employed_business,28,F,24400.0,2024-02-03
100032,digital,Meru,informal_gig,18,F,26200.0,2023-11-16
100033,digital,Nairobi,formal_employed,31,M,41200.0,2023-06-16
100034,digital,Nyeri,informal_gig,51,F,12200.0,2024-03-06
100035,digital,Uasin Gishu,self_employed_business,18,F,48900.0,2023-05-18
100036,digital,West Pokot,self_employed_business,37,F,45500.0,2023-05-30
100037,digital,Eldoret,self_employed_business,47,F,43200.0,2025-04-26
100038,digital,Kisumu,formal_employed,32,M,50300.0,2024-04-29
100039,sales_assisted,Kisumu,self_employed_business,50,F,25000.0,2023-12-11
100040,digital,Nairobi,informal_gig,27,M,33100.0,2024-01-15
