loan_id,customer_id,disbursed_date,tenor_days,loan_status,days_late_final,repaid_pct_final,approved_amount_kes,due_date
500002,100001,2025-05-03,30.0,closed_default,190.0,0.271,12400.0,2025-06-02
500003,100001,2025-06-20,120.0,closed_default,90.0,0.091,10200.0,2025-10-18
500004,100002,2024-10-05,120.0,closed_good,6.0,1.0,9700.0,2025-02-02
500008,100004,2023-01-06,120.0,written_off,151.0,0.231,13600.0,2023-05-06
500011,100005,2025-05-06,90.0,closed_default,186.0,0.578,14200.0,2025-08-04
500014,100006,2024-04-14,90.0,written_off,75.0,0.098,16600.0,2024-07-13
500017,100008,2024-04-06,60.0,closed_default,185.0,0.208,4500.0,2024-06-05
500018,100008,2024-07-31,120.0,closed_default,110.0,0.143,5900.0,2024-11-28
500019,100009,2023-05-15,60.0,closed_good,7.0,1.0,18500.0,2023-07-14
500021,100011,2025-06-09,30.0,closed_good,4.0,1.0,11400.0,2025-07-09
500022,100011,2025-07-19,90.0,closed_default,129.0,0.084,19900.0,2025-10-17
500023,100012,2023-10-19,90.0,closed_good,8.0,1.0,4000.0,2024-01-17
500025,100014,2024-09-28,90.0,closed_good,12.0,1.0,38100.0,2024-12-27
500026,100015,2024-01-25,30.0,closed_good,0.0,1.0,17800.0,2024-02-24
500029,100017,2024-05-27,60.0,closed_good,0.0,1.0,4900.0,2024-07-26
500030,100017,2024-08-10,60.0,closed_good,0.0,1.0,14600.0,2024-10-09
500031,100017,2024-09-23,30.0,closed_good,5.0,1.0,15000.0,2024-10-23
500032,100017,2024-11-18,30.0,closed_good,2.0,1.0,1500.0,2024-12-18
500036,100020,2025-05-06,90.0,closed_good,2.0,1.0,1400.0,2025-08-04
500039,100021,2023-08-29,90.0,closed_default,43.0,0.174,10300.0,2023-11-27
500040,100022,2024-04-30,90.0,closed_default,110.0,0.237,16000.0,2024-07-29
500041,100022,2024-07-30,120.0,closed_default,167.0,0.466,17000.0,2024-11-27
500044,100023,2025-05-03,30.0,closed_good,11.0,1.0,29700.0,2025-06-02
500046,100024,2024-12-22,60.0,closed_default,129.0,0.35,2800.0,2025-02-20
500049,100025,2024-06-13,30.0,written_off,168.0,0.201,10100.0,2024-07-13
500050,100026,2023-03-23,90.0,written_off,60.0,0.575,25300.0,2023-06-21
500051,100026,2023-05-02,90.0,closed_default,182.0,0.193,14900.0,2023-07-31
500055,100028,2024-03-22,90.0,closed_default,87.0,0.576,8000.0,2024-06-20
500058,100029,2025-02-09,90.0,closed_default,124.0,0.369,5600.0,2025-05-10
500059,100029,2025-03-12,30.0,closed_default,132.0,0.277,10800.0,2025-04-11
500061,100030,2025-02-14,60.0,closed_good,2.0,1.0,3800.0,2025-04-15
500062,100030,2025-03-12,30.0,closed_good,10.0,1.0,21600.0,2025-04-11
500064,100032,2023-11-22,60.0,closed_good,3.0,1.0,10400.0,2024-01-21
500066,100034,2024-03-11,120.0,closed_default,65.0,0.408,7300.0,2024-07-09
500076,100037,2025-08-26,60.0,closed_default,58.0,0.446,10200.0,2025-10-25
500078,100038,2024-05-01,30.0,closed_good,0.0,1.0,20000.0,2024-05-31
500081,100039,2024-03-14,30.0,closed_good,4.0,1.0,19500.0,2024-04-13
500084,100041,2024-01-01,120.0,closed_good,0.0,1.0,10600.0,2024-04-30
500085,100041,2024-02-20,90.0,written_off,84.0,0.083,23600.0,2024-05-20
500086,100041,2024-05-25,60.0,closed_good,2.0,1.0,13700.0,2024-07-24
500087,100042,2025-02-03,90.0,closed_good,12.0,1.0,40000.0,2025-05-04
500088,100042,2025-03-14,120.0,closed_good,8.0,1.0,43700.0,2025-07-12
500089,100042,2025-05-15,120.0,closed_good,0.0,1.0,19200.0,2025-09-12
500092,100044,2024-09-11,120.0,closed_default,175.0,0.268,6700.0,2025-01-09
500093,100045,2024-06-03,30.0,closed_good,0.0,1.0,29200.0,2024-07-03
500094,100046,2024-05-25,60.0,closed_default,149.0,0.199,11300.0,2024-07-24
500097,100046,2024-12-28,30.0,closed_default,164.0,0.17,7900.0,2025-01-27
500099,100047,2024-04-08,90.0,closed_good,3.0,1.0,15500.0,2024-07-07
500100,100048,2024-11-23,120.0,closed_default,192.0,0.104,14800.0,2025-03-23
500101,100049,2025-04-26,90.0,closed_good,6.0,1.0,11400.0,2025-07-25
500104,100050,2023-11-16,30.0,closed_good,2.0,1.0,44700.0,2023-12-16
500106,100051,2023-11-02,90.0,closed_good,11.0,1.0,13600.0,2024-01-31
